ID,Product_Name,UPC_Code,Department_Name,Department_Code,Category,Display_Price,Price_Numeric,Age_Restricted,Age_Restricted_Boolean,Stock_Status,Search_Terms,Tax_Rate,Total Price After Tax
22600642084.0,TROJAN MAGNUM RIBBED 6/3PK,022600642084,Gifts & Cards,20,General,$5.99 ,5.99,No,False,In Stock,trojan magnum ribbed 6 3pk,0.0,5.99
22600646037.0,TROJAN MAGNUM THIN 6/3PK,022600646037,Gifts & Cards,20,General,$5.99 ,5.99,No,False,In Stock,trojan magnum thin 6 3pk,0.0,5.99
22600920502.0,TROJAN NON LUBRICATED 6CT,022600920502,Gifts & Cards,20,General,$5.99 ,5.99,No,False,In Stock,trojan non lubricated 6ct,0.0,5.99
22600926207.0,TROJAN ULTRA THIN LUBRICATED 6CT,022600926207,Gifts & Cards,20,General,$5.99 ,5.99,No,False,In Stock,trojan ultra thin lubricated 6ct,0.0,5.99
22600930501.0,TROJAN ENZ LUBRICATED 6CT,022600930501,Gifts & Cards,20,General,$5.99 ,5.99,No,False,In Stock,trojan enz lubricated 6ct,0.0,5.99
22600940500.0,TROJAN RIBBED LUBRICATED 6CT,022600940500,Gifts & Cards,20,General,$5.99 ,5.99,No,False,In Stock,trojan ribbed lubricated 6ct,0.0,5.99
22600953210.0,TROJAN PLEASURE PK 6/3PK,022600953210,Gifts & Cards,20,General,$5.99 ,5.99,No,False,In Stock,trojan pleasure pk 6 3pk,0.0,5.99
22600957010.0,TROJAN INTENSIFIED CHARGED 6/3PK,022600957010,Gifts & Cards,20,General,$5.99 ,5.99,No,False,In Stock,trojan intensified charged 6 3pk,0.0,5.99
22600960034.0,TROJAN FIRE & ICE 6/3PK,022600960034,Gifts & Cards,20,General,$5.99 ,5.99,No,False,In Stock,trojan fire ice 6 3pk,0.0,5.99
22600973201.0,TROJAN HER PLEASURE 6/3CT,022600973201,Gifts & Cards,20,General,$5.99 ,5.99,No,False,In Stock,trojan her pleasure 6 3ct,0.0,5.99
23968677404.0,TECHRON 12Oz,023968677404,Baby & Kids,17,Baby,$11.99 ,11.99,No,False,In Stock,techron 12oz,8.625,13.02
24000162865.0,DM CUT GREEN BEAN 14.5OZ,024000162865,Home & Kitchen,32,Home,$3.99 ,3.99,No,False,In Stock,dm cut green bean 14 5oz,8.625,4.33
24000163022.0,WHOLE KERNEL CORN,024000163022,Home & Kitchen,32,Home,$2.49 ,2.49,No,False,In Stock,whole kernel corn,0.0,2.49
24000163190.0,DELMOUNT,024000163190,Home & Kitchen,32,Home,$3.21 ,3.21,No,False,In Stock,delmount,8.625,3.49
24000167044.0,DM FRUIT COCKTAIL 15.25OZ,024000167044,Home & Kitchen,32,Home,$4.99 ,4.99,No,False,In Stock,dm fruit cocktail 15 25oz,8.625,5.42
24100000234.0,CHEEZ IT PUFFD CHEDDAR 3Z/6CT,024100000234,Food & Grocery,24,Grocery,$4.49 ,4.49,No,False,In Stock,cheez it puffd cheddar 3z 6ct,0.0,4.49
24100000258.0,CHEEZ IT PUFFD WHITE CHED 3Z/6CT,024100000258,Food & Grocery,24,Grocery,$4.49 ,4.49,No,False,In Stock,cheez it puffd white ched 3z 6ct,0.0,4.49
24100103447.0,CHEEZ IT GROOVES CHED RANCH 6CT,024100103447,Food & Grocery,24,Grocery,$3.99 ,3.99,No,False,In Stock,cheez it grooves ched ranch 6ct,0.0,3.99
24100103454.0,CHEEZ IT GROOVES WHITE CHED 6CT,024100103454,Food & Grocery,24,Grocery,$3.99 ,3.99,No,False,In Stock,cheez it grooves white ched 6ct,0.0,3.99
24100110902.0,CHEEZ IT DUOZ BACON CHEDDAR 6CT,024100110902,Food & Grocery,24,Grocery,$3.99 ,3.99,No,False,In Stock,cheez it duoz bacon cheddar 6ct,0.0,3.99
24100114238.0,CHEEZ IT SNAPD DBL CHEESE 6CT 2.2OZ,024100114238,Food & Grocery,24,Grocery,$3.99 ,3.99,No,False,In Stock,cheez it snapd dbl cheese 6ct 2 2oz,0.0,3.99
24100114627.0,CHEEZ IT SNAPD CHD/SRCRM/ON 6CT 2.2Z,024100114627,Food & Grocery,24,Grocery,$3.99 ,3.99,No,False,In Stock,cheez it snapd chd srcrm on 6ct 2 2z,0.0,3.99
24100116263.0,CHEEZ IT EXTRA TOASTY 3OZ/6CT,024100116263,Food & Grocery,24,Grocery,$2.99 ,2.99,No,False,In Stock,cheez it extra toasty 3oz 6ct,0.0,2.99
24100117734.0,CHEEZ ITCHEEZ IT EXTRA CHEESY 3OZ/6CT,024100117734,Food & Grocery,24,Grocery,$2.99 ,2.99,No,False,In Stock,cheez itcheez it extra cheesy 3oz 6ct,8.625,3.25
24100118557.0,CHEEZ-IT GROVES HOT BACON,024100118557,Food & Grocery,24,Grocery,$3.99 ,3.99,No,False,In Stock,cheez it groves hot bacon,0.0,3.99
